time,|psi2|,i1alpha,motorMechanicalAngularVelocity
0.0132,0.473843,83.1028,-3.87284
0.0133,0.474908,76.0787,-3.95184
0.0134,0.475872,69.0218,-4.03089
0.0135,0.476737,61.9387,-4.10996
0.0136,0.477502,54.8357,-4.18899
0.0137,0.478167,47.7194,-4.26796
0.0138,0.478731,40.5965,-4.3468
0.0139,0.479194,33.4733,-4.42549
0.014,0.479557,26.3565,-4.50397
0.0141,0.479818,19.2528,-4.5822
0.0142,0.479979,12.1685,-4.66014
0.0143,0.480039,5.11027,-4.73774
0.0144,0.479997,-1.91536,-4.81496
0.0145,0.479855,-8.90189,-4.89176
0.0146,0.479612,-15.8429,-4.96808
0.0147,0.479268,-22.7319,-5.0439
0.0148,0.478824,-29.5625,-5.11915
0.0149,0.47828,-36.3285,-5.19381
0.015,0.477635,-43.0235,-5.26783
0.0151,0.476891,-49.6414,-5.34116
0.0152,0.476047,-56.176,-5.41377
0.0153,0.475104,-62.6213,-5.48561
0.0154,0.474063,-68.9713,-5.55665
0.0155,0.472923,-75.2201,-5.62683
0.0156,0.471685,-81.3619,-5.69614
0.0157,0.47035,-87.3911,-5.76451
0.0158,0.468918,-93.3021,-5.83193
0.0159,0.46739,-99.0894,-5.89834
0.016,0.465767,-104.748,-5.96371
0.0161,0.464048,-110.272,-6.02801
0.0162,0.462236,-115.657,-6.0912
0.0163,0.46033,-120.897,-6.15325
0.0164,0.458332,-125.988,-6.21412
0.0165,0.456241,-130.926,-6.27379
0.0166,0.45406,-135.705,-6.33221
0.0167,0.451789,-140.322,-6.38936
0.0168,0.449429,-144.772,-6.44522
0.0169,0.446981,-149.05,-6.49974
0.017,0.444445,-153.154,-6.55291
0.0171,0.441824,-157.08,-6.6047
0.0172,0.439119,-160.823,-6.65509
0.0173,0.436329,-164.381,-6.70404
0.0174,0.433458,-167.75,-6.75154
0.0175,0.430505,-170.928,-6.79756
0.0176,0.427473,-173.911,-6.84209
0.0177,0.424363,-176.697,-6.88511
0.0178,0.421176,-179.283,-6.9266
0.0179,0.417913,-181.668,-6.96654
0.018,0.414577,-183.849,-7.00492
0.0181,0.411169,-185.824,-7.04172
