HEADER
VTF File Version,1.1
VTF File Type,0
PID,2526
Generated on,2021-11-19 09:36:46
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2526
XRT Version,2022.2

STRUCTURE
Group_Start,OpenCL Host Trace
Group_Start,OpenCL API Calls
Dynamic_Row,1,General,API Events not associated with a Queue
Static_Row,2,Queue 0xaaaaca565330,API events associated with the command queue
Group_End,OpenCL API Calls
Group_Start,Data Transfer
Dynamic_Row,3,Read,Read data transfers from global memory to host
Dynamic_Row,4,Write,Write data transfer from host to global memory
Dynamic_Row,5,Copy,Copy data transfers from global memory to global memory
Group_End,Data Transfer
Group_Start,Kernel Enqueues
Dynamic_Row_Summary,6,edge:binary_container_1:krnl_calculateCurVelModel,Kernel Enqueue
Group_End,Kernel Enqueues
Group_End,OpenCL Host Trace

MAPPING
591,0,10429.620132,1,OPENCL_API_CALL,55
596,591,10429.638532,1,OPENCL_API_CALL,55
598,0,10429.663693,4,WRITE_BUFFER,16
602,598,10429.707183,4,WRITE_BUFFER
603,0,10429.712193,1,OPENCL_API_CALL,55
610,603,10429.729023,1,OPENCL_API_CALL,55
611,0,10429.732213,4,WRITE_BUFFER,56,0x81733e000,56,0xffff8ca2b0e0
612,0,10429.733753,1,OPENCL_API_CALL,55
619,612,10429.779644,1,OPENCL_API_CALL,55
621,0,10429.787744,2,OPENCL_API_CALL,18
625,0,10429.808504,4,WRITE_BUFFER,56
627,625,10429.818714,4,WRITE_BUFFER
629,611,10429.843024,4,WRITE_BUFFER
650,0,10429.998336,6,KERNEL_ENQUEUE,59,60,1,0
657,621,10430.116237,2,OPENCL_API_CALL,18
659,0,10430.174238,1,OPENCL_API_CALL,54
663,659,10430.192428,1,OPENCL_API_CALL,54
664,0,10430.201988,1,OPENCL_API_CALL,54
667,664,10430.214108,1,OPENCL_API_CALL,54
668,650,10430.214758,6,KERNEL_ENQUEUE,59,63,0,0
669,0,10430.219278,2,OPENCL_API_CALL,14
672,669,10430.263399,2,OPENCL_API_CALL,14
673,0,10430.268739,1,OPENCL_API_CALL,55
677,673,10430.281729,1,OPENCL_API_CALL,55
681,0,10430.297239,1,OPENCL_API_CALL,55
684,0,10430.305059,3,READ_BUFFER,16,0x81733f000,56,0xffff8d23b0e0
686,681,10430.312859,1,OPENCL_API_CALL,55
688,0,10430.320209,1,OPENCL_API_CALL,23
696,0,10430.362980,3,READ_BUFFER,16
698,696,10430.374020,3,READ_BUFFER
700,684,10430.389460,3,READ_BUFFER
707,688,10430.434280,1,OPENCL_API_CALL,23
708,0,10430.817914,1,OPENCL_API_CALL,55
711,708,10430.832824,1,OPENCL_API_CALL,55
712,0,10430.838364,1,OPENCL_API_CALL,55
715,712,10430.849674,1,OPENCL_API_CALL,55
716,0,10430.870435,1,OPENCL_API_CALL,65
729,716,10432.381030,1,OPENCL_API_CALL,65
730,0,10432.389840,1,OPENCL_API_CALL,66
733,730,10432.409780,1,OPENCL_API_CALL,66
734,0,10432.416510,1,OPENCL_API_CALL,67
741,734,10432.480721,1,OPENCL_API_CALL,67
742,0,10432.485711,1,OPENCL_API_CALL,49
745,742,10432.497421,1,OPENCL_API_CALL,49
851,0,10436.806104,3,READ_BUFFER,1456
853,851,10436.824064,3,READ_BUFFER

DEPENDENCIES
629,650
668,684

