HEADER
VTF File Version,1.1
VTF File Type,0
PID,2366
Generated on,2021-11-19 09:35:22
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2370
XRT Version,2022.2

STRUCTURE
Group_Start,Low Overhead OpenCL Host Trace
Group_Start,OpenCL API Calls
Dynamic_Row,1,General,API Events not associated with a Queue
Static_Row,2,Queue 0xaaaab222b720,API events associated with the command queue
Group_End,OpenCL API Calls
Group_Start,Data Transfer
Dynamic_Row,3,Read,Read data transfers from global memory to host
Dynamic_Row,4,Write,Write data transfer from host to global memory
Group_End,Data Transfer
Dynamic_Row_Summary,5,Kernel Enqueues,Activity in kernel enqueues
Group_End,Low Overhead OpenCL Host Trace

MAPPING
790,789,12736.630636,1,OPENCL_API_CALL,30
793,0,12736.642017,1,OPENCL_API_CALL,30
794,793,12736.647147,1,OPENCL_API_CALL,30
797,0,12736.657177,1,OPENCL_API_CALL,30
798,797,12736.661087,1,OPENCL_API_CALL,30
801,0,12736.672187,1,OPENCL_API_CALL,30
802,801,12736.676727,1,OPENCL_API_CALL,30
805,0,12736.686847,1,OPENCL_API_CALL,30
806,805,12736.691027,1,OPENCL_API_CALL,30
809,0,12736.702017,1,OPENCL_API_CALL,30
810,809,12736.706807,1,OPENCL_API_CALL,30
813,0,12736.716937,1,OPENCL_API_CALL,30
814,813,12736.721167,1,OPENCL_API_CALL,30
817,0,12736.731797,1,OPENCL_API_CALL,30
818,817,12736.736158,1,OPENCL_API_CALL,30
821,0,12736.746498,1,OPENCL_API_CALL,30
822,821,12736.751358,1,OPENCL_API_CALL,30
825,0,12736.770968,1,OPENCL_API_CALL,56
826,825,12736.775308,1,OPENCL_API_CALL,56
829,0,12736.787998,1,OPENCL_API_CALL,56
830,829,12736.791048,1,OPENCL_API_CALL,56
833,0,12736.803838,1,OPENCL_API_CALL,56
834,833,12736.806968,1,OPENCL_API_CALL,56
837,0,12736.819538,1,OPENCL_API_CALL,56
838,837,12736.822438,1,OPENCL_API_CALL,56
841,0,12736.834919,1,OPENCL_API_CALL,56
842,841,12736.837759,1,OPENCL_API_CALL,56
845,0,12736.849909,1,OPENCL_API_CALL,56
846,845,12736.852929,1,OPENCL_API_CALL,56
849,0,12736.864999,1,OPENCL_API_CALL,56
850,849,12736.867949,1,OPENCL_API_CALL,56
853,0,12736.880419,1,OPENCL_API_CALL,56
854,853,12736.883489,1,OPENCL_API_CALL,56
857,0,12736.896549,1,OPENCL_API_CALL,56
858,857,12736.899869,1,OPENCL_API_CALL,56
861,0,12736.911609,1,OPENCL_API_CALL,56
862,861,12736.914739,1,OPENCL_API_CALL,56
865,0,12736.926679,1,OPENCL_API_CALL,56
866,865,12736.930439,1,OPENCL_API_CALL,56
869,0,12736.942370,1,OPENCL_API_CALL,56
870,869,12736.945300,1,OPENCL_API_CALL,56
873,0,12736.957190,1,OPENCL_API_CALL,56
874,873,12736.960050,1,OPENCL_API_CALL,56
877,0,12736.971990,1,OPENCL_API_CALL,56
878,877,12736.974820,1,OPENCL_API_CALL,56
881,0,12736.986690,1,OPENCL_API_CALL,56
882,881,12736.989530,1,OPENCL_API_CALL,56
885,0,12737.001940,1,OPENCL_API_CALL,56
886,885,12737.004790,1,OPENCL_API_CALL,56
889,0,12737.028590,2,OPENCL_API_CALL,16
890,889,12737.540506,2,OPENCL_API_CALL,16
893,0,12737.571176,1,OPENCL_API_CALL,57
894,893,12737.575136,1,OPENCL_API_CALL,57
898,0,12737.588306,1,OPENCL_API_CALL,57
899,898,12737.591866,1,OPENCL_API_CALL,57
903,0,12737.629536,1,OPENCL_API_CALL,57
