HEADER
VTF File Version,1.1
VTF File Type,0
PID,2366
Generated on,2021-11-19 09:35:22
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,2367
XRT Version,2022.2

STRUCTURE
Group_Start,OpenCL Host Trace
Group_Start,OpenCL API Calls
Dynamic_Row,1,General,API Events not associated with a Queue
Static_Row,2,Queue 0xaaaab222b720,API events associated with the command queue
Group_End,OpenCL API Calls
Group_Start,Data Transfer
Dynamic_Row,3,Read,Read data transfers from global memory to host
Dynamic_Row,4,Write,Write data transfer from host to global memory
Dynamic_Row,5,Copy,Copy data transfers from global memory to global memory
Group_End,Data Transfer
Group_Start,Kernel Enqueues
Dynamic_Row_Summary,6,edge:binary_container_1:krnl_calculateCurVelModel,Kernel Enqueue
Group_End,Kernel Enqueues
Group_End,OpenCL Host Trace

MAPPING
776,0,12736.539836,1,OPENCL_API_CALL,6
783,776,12736.587586,1,OPENCL_API_CALL,6
784,0,12736.595276,1,OPENCL_API_CALL,30
787,784,12736.617476,1,OPENCL_API_CALL,30
788,0,12736.621306,1,OPENCL_API_CALL,30
791,788,12736.633316,1,OPENCL_API_CALL,30
792,0,12736.636847,1,OPENCL_API_CALL,30
795,792,12736.649707,1,OPENCL_API_CALL,30
796,0,12736.653097,1,OPENCL_API_CALL,30
799,796,12736.663637,1,OPENCL_API_CALL,30
800,0,12736.667097,1,OPENCL_API_CALL,30
803,800,12736.679207,1,OPENCL_API_CALL,30
804,0,12736.682567,1,OPENCL_API_CALL,30
807,804,12736.693697,1,OPENCL_API_CALL,30
808,0,12736.697267,1,OPENCL_API_CALL,30
811,808,12736.709397,1,OPENCL_API_CALL,30
812,0,12736.712757,1,OPENCL_API_CALL,30
815,812,12736.723687,1,OPENCL_API_CALL,30
816,0,12736.727077,1,OPENCL_API_CALL,30
819,816,12736.738748,1,OPENCL_API_CALL,30
820,0,12736.742238,1,OPENCL_API_CALL,30
823,820,12736.754688,1,OPENCL_API_CALL,30
824,0,12736.760538,1,OPENCL_API_CALL,56
827,824,12736.778068,1,OPENCL_API_CALL,56
828,0,12736.782408,1,OPENCL_API_CALL,56
831,828,12736.793818,1,OPENCL_API_CALL,56
832,0,12736.798118,1,OPENCL_API_CALL,56
835,832,12736.809898,1,OPENCL_API_CALL,56
836,0,12736.814488,1,OPENCL_API_CALL,56
839,836,12736.825288,1,OPENCL_API_CALL,56
840,0,12736.829558,1,OPENCL_API_CALL,56
843,840,12736.840389,1,OPENCL_API_CALL,56
844,0,12736.844949,1,OPENCL_API_CALL,56
