HEADER
VTF File Version,1.1
VTF File Type,0
PID,2366
Generated on,2021-11-19 09:35:22
Resolution,ms
Min Resolution,us
Trace Version,1.1
TraceID,2368
XRT  Version,2.14.0
Tool Version,2022.2

STRUCTURE
Group_Start,HAL Host Trace
Dynamic_Row,1,HAL API Calls,API_CALL
Group_Start,Data Transfer
Dynamic_Row,2,Read,READ_BUFFER
Dynamic_Row,3,Write,WRITE_BUFFER
Group_End,Data Transfer
Group_End,HAL Host Trace

MAPPING
77,0,173.567706,1,API_CALL,36
78,0,253.416295,1,API_CALL,37
79,78,253.510976,1,API_CALL,37
80,0,253.521406,1,API_CALL,38
81,80,253.563266,1,API_CALL,38
82,0,278.665857,1,API_CALL,39
83,82,278.819809,1,API_CALL,39
84,0,278.832029,1,API_CALL,40
85,84,278.855369,1,API_CALL,40
86,0,278.862059,1,API_CALL,41
87,86,278.902510,1,API_CALL,41
88,0,278.950560,1,API_CALL,42
89,88,279.006801,1,API_CALL,42
90,0,350.673158,1,API_CALL,43
91,90,350.703728,1,API_CALL,43
92,0,350.713028,1,API_CALL,44
93,92,350.730698,1,API_CALL,44
95,0,356.888530,1,API_CALL,37
96,95,359.738988,1,API_CALL,37
97,0,359.757098,1,API_CALL,38
98,97,359.845499,1,API_CALL,38
101,0,359.881780,1,API_CALL,48
102,0,359.889290,3,WRITE_BUFFER,10485760
103,101,360.553736,1,API_CALL,48
104,102,360.558256,3,WRITE_BUFFER
107,0,360.615297,1,API_CALL,50
108,107,360.627647,1,API_CALL,50
110,0,360.639807,1,API_CALL,43
111,110,360.646417,1,API_CALL,43
112,0,360.651307,1,API_CALL,44
113,112,360.660777,1,API_CALL,44
114,0,360.664708,1,API_CALL,44
115,114,360.668938,1,API_CALL,44
116,0,360.672068,1,API_CALL,44
117,116,360.675598,1,API_CALL,44
118,0,360.678828,1,API_CALL,44
119,118,360.682898,1,API_CALL,44
120,0,360.686348,1,API_CALL,44
121,120,360.689938,1,API_CALL,44
122,0,360.692958,1,API_CALL,44
123,122,360.696468,1,API_CALL,44
124,0,360.707788,1,API_CALL,44
125,124,360.714278,1,API_CALL,44
126,0,360.718598,1,API_CALL,44
127,126,360.725698,1,API_CALL,44
128,0,360.729888,1,API_CALL,44
129,128,360.735678,1,API_CALL,44
130,0,360.739208,1,API_CALL,44
131,130,360.744448,1,API_CALL,44
132,0,360.747968,1,API_CALL,44
133,132,360.753418,1,API_CALL,44
134,0,360.756778,1,API_CALL,44
135,134,360.762368,1,API_CALL,44
136,0,360.766049,1,API_CALL,44
137,136,360.771159,1,API_CALL,44
138,0,360.774659,1,API_CALL,44
139,138,360.779629,1,API_CALL,44
140,0,360.783259,1,API_CALL,44
141,140,360.788419,1,API_CALL,44
142,0,360.791889,1,API_CALL,44
143,142,360.797859,1,API_CALL,44
144,0,360.801489,1,API_CALL,44
145,144,360.806549,1,API_CALL,44
146,0,360.810239,1,API_CALL,44
147,146,360.814209,1,API_CALL,44
148,0,360.826349,1,API_CALL,44
149,148,360.831129,1,API_CALL,44
150,0,360.834459,1,API_CALL,44
151,150,360.838049,1,API_CALL,44
152,0,360.841279,1,API_CALL,44
153,152,360.844869,1,API_CALL,44
154,0,360.847949,1,API_CALL,44
155,154,360.851499,1,API_CALL,44
156,0,360.928330,1,API_CALL,44
157,156,360.933470,1,API_CALL,44
158,0,360.937060,1,API_CALL,44
159,158,360.941330,1,API_CALL,44
