Model,RTH1004
SerialNumber,104117
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2023-04-12 15:03:40.529053885
Waveform Type,ANALOG
Acquisition Mode,SAMPLE
Horizontal Unit,s
Horizontal Scale,5e-08
Horizontal Position,2e-07
Reference Point,50 %
Sample Interval,4e-10
Record Length,1250
Probe Setting,'10:1'
Vertical Unit,V
Vertical Scale,2
Vertical Position,-1
Vertical Offset,0
History Index,0
History Time Stamp,0.000000000000
,
TIME,CH3
3.648e-07,-0.509804
3.652e-07,-0.447059
3.656e-07,-0.352941
3.66e-07,-0.258824
3.664e-07,-0.196078
3.668e-07,-0.101961
3.672e-07,-0.0392157
3.676e-07,0.0235294
3.68e-07,0.0862745
3.684e-07,0.14902
3.688e-07,0.180392
3.692e-07,0.211765
3.696e-07,0.243137
3.7e-07,0.27451
3.704e-07,0.305882
3.708e-07,0.305882
3.712e-07,0.337255
3.716e-07,0.368627
3.72e-07,0.4
3.724e-07,0.4
3.728e-07,0.431373
3.732e-07,0.462745
3.736e-07,0.462745
3.74e-07,0.494118
3.744e-07,0.494118
3.748e-07,0.494118
3.752e-07,0.494118
3.756e-07,0.494118
3.76e-07,0.462745
3.764e-07,0.462745
3.768e-07,0.431373
3.772e-07,0.4
3.776e-07,0.368627
3.78e-07,0.305882
3.784e-07,0.27451
3.788e-07,0.243137
3.792e-07,0.211765
3.796e-07,0.180392
3.8e-07,0.14902
3.804e-07,0.14902
3.808e-07,0.117647
3.812e-07,0.0862745
3.816e-07,0.0862745
3.82e-07,0.054902
3.824e-07,0.054902
3.828e-07,0.0235294
3.832e-07,0.0235294
3.836e-07,0.0235294
3.84e-07,-0.00784314
3.844e-07,-0.00784314
3.848e-07,-0.00784314
3.852e-07,-0.00784314
3.856e-07,-0.00784314
3.86e-07,-0.00784314
3.864e-07,-0.00784314
3.868e-07,-0.00784314
3.872e-07,-0.00784314
3.876e-07,-0.0392157
3.88e-07,-0.0392157
3.884e-07,-0.0392157
3.888e-07,-0.0392157
3.892e-07,-0.0392157
3.896e-07,-0.0392157
3.9e-07,-0.0392157
3.904e-07,-0.0392157
3.908e-07,-0.0392157
3.912e-07,-0.0392157
3.916e-07,-0.0392157
3.92e-07,-0.00784314
3.924e-07,-0.00784314
3.928e-07,-0.00784314
3.932e-07,-0.00784314
3.936e-07,0.0235294
3.94e-07,0.0235294
3.944e-07,0.054902
3.948e-07,0.054902
3.952e-07,0.0862745
3.956e-07,0.0862745
3.96e-07,0.117647
3.964e-07,0.14902
3.968e-07,0.180392
3.972e-07,0.243137
3.976e-07,0.305882
3.98e-07,0.4
3.984e-07,0.494118
3.988e-07,0.619608
3.992e-07,0.745098
3.996e-07,0.933333
4e-07,1.0902
4.004e-07,1.27843
4.008e-07,1.49804
4.012e-07,1.71765
4.016e-07,1.93725
4.02e-07,2.15686
4.024e-07,2.37647
4.028e-07,2.56471
4.032e-07,2.78431
4.036e-07,2.97255
4.04e-07,3.16078
4.044e-07,3.31765
4.048e-07,3.47451
4.052e-07,3.63137
4.056e-07,3.78824
4.06e-07,3.88235
4.064e-07,4.00784
4.068e-07,4.10196
4.072e-07,4.19608
4.076e-07,4.25882
4.08e-07,4.32157
4.084e-07,4.35294
4.088e-07,4.38431
4.092e-07,4.41569
4.096e-07,4.41569
4.1e-07,4.41569
4.104e-07,4.41569
4.108e-07,4.38431
4.112e-07,4.38431
4.116e-07,4.35294
4.12e-07,4.2902
4.124e-07,4.25882
4.128e-07,4.19608
4.132e-07,4.13333
4.136e-07,4.07059
4.14e-07,3.97647
4.144e-07,3.88235
4.148e-07,3.78824
4.152e-07,3.69412
4.156e-07,3.6
4.16e-07,3.50588
4.164e-07,3.41176
4.168e-07,3.31765
4.172e-07,3.22353
4.176e-07,3.16078
4.18e-07,3.09804
4.184e-07,3.03529
4.188e-07,2.97255
4.192e-07,2.94118
4.196e-07,2.9098
4.2e-07,2.9098
4.204e-07,2.9098
4.208e-07,2.9098
4.212e-07,2.9098
4.216e-07,2.94118
4.22e-07,2.94118
4.224e-07,2.97255
4.228e-07,3.00392
4.232e-07,3.03529
4.236e-07,3.06667
4.24e-07,3.09804
4.244e-07,3.16078
4.248e-07,3.19216
4.252e-07,3.22353
4.256e-07,3.28627
4.26e-07,3.31765
4.264e-07,3.34902
4.268e-07,3.38039
4.272e-07,3.44314
4.276e-07,3.44314
4.28e-07,3.47451
4.284e-07,3.50588
4.288e-07,3.53725
4.292e-07,3.53725
4.296e-07,3.56863
4.3e-07,3.6
4.304e-07,3.6
4.308e-07,3.63137
4.312e-07,3.63137
4.316e-07,3.66275
4.32e-07,3.66275
4.324e-07,3.69412
4.328e-07,3.69412
4.332e-07,3.69412
4.336e-07,3.69412
4.34e-07,3.69412
4.344e-07,3.72549
4.348e-07,3.69412
4.352e-07,3.69412
4.356e-07,3.69412
4.36e-07,3.69412
4.364e-07,3.66275
4.368e-07,3.66275
4.372e-07,3.66275
4.376e-07,3.63137
4.38e-07,3.63137
4.384e-07,3.63137
4.388e-07,3.63137
4.392e-07,3.6
4.396e-07,3.6
4.4e-07,3.6
4.404e-07,3.6
4.408e-07,3.56863
4.412e-07,3.56863
4.416e-07,3.56863
4.42e-07,3.56863
4.424e-07,3.53725
4.428e-07,3.53725
4.432e-07,3.53725
4.436e-07,3.50588
4.44e-07,3.50588
4.444e-07,3.47451
4.448e-07,3.47451
4.452e-07,3.47451
4.456e-07,3.47451
4.46e-07,3.44314
4.464e-07,3.41176
4.468e-07,3.38039
4.472e-07,3.34902
4.476e-07,3.28627
4.48e-07,3.22353
4.484e-07,3.12941
4.488e-07,3.03529
4.492e-07,2.87843
4.496e-07,2.75294
